GEO_ID,,S1101_C01_001E,S1101_C01_002E
GEO ID,FIPS,Total households,Average household size
1400000U,6037134801,1116,2.77
1400000U,6037134802,839,3.72
1400000U,6037134901,988,2.6
1400000U,6037134904,1420,3.21
1400000U,6037134905,2866,1.95
1400000U,6037134906,1136,2.69
1400000U,6037134907,1696,2.14
1400000U,6037135102,1197,2.89
1400000U,6037135111,1270,3.12
1400000U,6037135113,1315,2.24
1400000U,6037135115,1441,2.23
1400000U,6037135116,1033,1.43
1400000U,6037135201,869,3.55
1400000U,6037135202,1498,3.06
1400000U,6037135204,1639,2.72
1400000U,6037135205,765,2.69
1400000U,6037137000,1703,2.92
1400000U,6037137103,2395,2.32
1400000U,6037137104,971,2.49
1400000U,6037137202,1368,2.41
1400000U,6037137203,837,3.11
1400000U,6037137301,746,2.86
1400000U,6037137302,1548,2.78
1400000U,6037137401,1567,2.88
1400000U,6037137402,2038,2.73
1400000U,6037137501,2026,2.62
1400000U,6037137502,1695,2.56
1400000U,6037137504,662,3
1400000U,6037138000,1832,2.63
1400000U,6037139001,2233,2.46
1400000U,6037139200,2294,2.58
1400000U,6037139301,1479,2.82
1400000U,6037139302,1944,2.45
1400000U,6037139303,2154,2.04
1400000U,6037139401,1158,2.07
1400000U,6037139402,946,3.06
1400000U,6037139502,1163,2.66
1400000U,6037139504,1804,2.07
1400000U,6037139505,1522,1.63
1400000U,6037139506,1486,1.94
1400000U,6037139600,2286,2.25
1400000U,6037139701,2115,2.5
1400000U,6037139703,865,2.8
1400000U,6037139704,982,2.63
1400000U,6037139705,1318,3.11
1400000U,6037139801,1218,2.87
1400000U,6037139802,1424,2.73
1400000U,6037141101,2275,1.95
1400000U,6037141102,1347,2.19
1400000U,6037141201,2133,1.85
1400000U,6037141202,1448,2.04
1400000U,6037141303,1666,1.94
1400000U,6037141304,1499,2.01
1400000U,6037141305,1411,2.04
1400000U,6037141306,1482,2.08
1400000U,6037141400,1990,2.51
1400000U,6037141500,1103,2.74
1400000U,6037141600,1729,2.23
1400000U,6037141700,1162,2.66
1400000U,6037143101,1074,1.93
1400000U,6037143102,1208,1.93
1400000U,6037143200,2065,2.05
1400000U,6037143301,1589,2.13
1400000U,6037143302,1618,2.01
1400000U,6037143401,2304,2.37
1400000U,6037143402,771,2.39
1400000U,6037143500,2334,2.28
1400000U,6037143602,2258,1.97
1400000U,6037143603,1331,1.85
1400000U,6037143605,932,1.96
1400000U,6037143606,1003,1.69
1400000U,6037143700,1800,1.91
1400000U,6037143801,1384,2.46
1400000U,6037143802,1049,2.13
1400000U,6037143901,1583,2.65
1400000U,6037143902,1389,2.2
1400000U,6037181000,2197,2.7
1400000U,6037181300,1288,3.04
1400000U,6037181400,1647,2.69
1400000U,6037181500,1325,3.1
1400000U,6037181600,1055,2.65
1400000U,6037183101,1154,2.38
1400000U,6037183103,1623,2.8
1400000U,6037183104,744,2.55
1400000U,6037183220,1066,2.83
1400000U,6037183221,1137,3.07
1400000U,6037183222,1555,2.32
1400000U,6037183300,1100,2.94
1400000U,6037183401,819,2.91
1400000U,6037183402,1061,2.66
1400000U,6037183510,775,3.03
1400000U,6037183520,1165,3.25
1400000U,6037183610,1004,2.74
1400000U,6037183620,1053,2.86
1400000U,6037183701,1311,2.43
1400000U,6037183702,1129,2.72
1400000U,6037183810,1518,2.77
1400000U,6037183820,1269,2.64
1400000U,6037185101,1015,2.67
1400000U,6037185102,1419,2.36
1400000U,6037185202,1501,2.73
1400000U,6037185203,886,3.04
1400000U,6037185204,718,2.46
1400000U,6037185310,867,3.34
1400000U,6037185320,925,2.95
1400000U,6037186100,1838,2.57
1400000U,6037186201,1296,2.61
1400000U,6037186202,723,2.32
1400000U,6037186203,1062,2.82
1400000U,6037186301,829,3.15
1400000U,6037186302,1850,2.6
1400000U,6037186401,857,3.14
1400000U,6037186403,761,3.41
1400000U,6037186404,786,3.33
1400000U,6037187101,1210,2.46
1400000U,6037187102,1593,2.91
1400000U,6037187200,1048,2.55
1400000U,6037187300,1645,2.24
1400000U,6037188100,1859,2
1400000U,6037188201,1572,1.92
1400000U,6037188202,1288,2.35
1400000U,6037188300,1327,2.61
1400000U,6037189101,1218,1.91
1400000U,6037189102,1952,1.97
1400000U,6037189201,1775,1.64
1400000U,6037189202,1367,2.15
1400000U,6037189300,1398,2.1
1400000U,6037189400,1540,1.96
1400000U,6037189501,1447,1.51
1400000U,6037189502,1259,1.46
1400000U,6037189600,2006,1.82
1400000U,6037189702,1363,1.65
1400000U,6037189703,1018,1.84
1400000U,6037189704,811,1.92
1400000U,6037189801,1388,1.28
1400000U,6037189802,1105,1.58
1400000U,6037189903,1636,1.37
1400000U,6037189904,1453,1.59
1400000U,6037189905,1386,1.72
1400000U,6037189906,1466,1.67
1400000U,6037189907,1357,1.79
1400000U,6037190101,1207,1.41
1400000U,6037190102,1460,1.79
1400000U,6037190201,1456,1.79
1400000U,6037190202,2205,1.3
