"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US06037121010","Census Tract 1210.10; Los Angeles County; California","4693",
"1400000US06037121020","Census Tract 1210.20; Los Angeles County; California","3781",
"1400000US06037121101","Census Tract 1211.01; Los Angeles County; California","2936",
"1400000US06037121102","Census Tract 1211.02; Los Angeles County; California","2846",
"1400000US06037121210","Census Tract 1212.10; Los Angeles County; California","3182",
"1400000US06037121221","Census Tract 1212.21; Los Angeles County; California","2147",
"1400000US06037121222","Census Tract 1212.22; Los Angeles County; California","5376",
"1400000US06037121600","Census Tract 1216; Los Angeles County; California","2996",
"1400000US06037121801","Census Tract 1218.01; Los Angeles County; California","3854",
"1400000US06037121802","Census Tract 1218.02; Los Angeles County; California","3192",
"1400000US06037121900","Census Tract 1219; Los Angeles County; California","3921",
"1400000US06037122000","Census Tract 1220; Los Angeles County; California","5289",
"1400000US06037122120","Census Tract 1221.20; Los Angeles County; California","4559",
"1400000US06037122121","Census Tract 1221.21; Los Angeles County; California","2629",
"1400000US06037122122","Census Tract 1221.22; Los Angeles County; California","2750",
"1400000US06037122200","Census Tract 1222; Los Angeles County; California","4064",
"1400000US06037122410","Census Tract 1224.10; Los Angeles County; California","3824",
"1400000US06037122420","Census Tract 1224.20; Los Angeles County; California","4623",
"1400000US06037123010","Census Tract 1230.10; Los Angeles County; California","4253",
"1400000US06037123020","Census Tract 1230.20; Los Angeles County; California","3177",
"1400000US06037123103","Census Tract 1231.03; Los Angeles County; California","4285",
"1400000US06037123104","Census Tract 1231.04; Los Angeles County; California","4309",
"1400000US06037123203","Census Tract 1232.03; Los Angeles County; California","3508",
"1400000US06037123204","Census Tract 1232.04; Los Angeles County; California","3125",
"1400000US06037123205","Census Tract 1232.05; Los Angeles County; California","2503",
"1400000US06037123206","Census Tract 1232.06; Los Angeles County; California","2857",
"1400000US06037123301","Census Tract 1233.01; Los Angeles County; California","4424",
"1400000US06037123303","Census Tract 1233.03; Los Angeles County; California","3091",
"1400000US06037123304","Census Tract 1233.04; Los Angeles County; California","4518",
"1400000US06037123410","Census Tract 1234.10; Los Angeles County; California","3967",
"1400000US06037123420","Census Tract 1234.20; Los Angeles County; California","4481",
"1400000US06037123510","Census Tract 1235.10; Los Angeles County; California","4938",
"1400000US06037123520","Census Tract 1235.20; Los Angeles County; California","2669",
"1400000US06037123601","Census Tract 1236.01; Los Angeles County; California","4985",
"1400000US06037123602","Census Tract 1236.02; Los Angeles County; California","3433",
"1400000US06037123700","Census Tract 1237; Los Angeles County; California","4142",
"1400000US06037123800","Census Tract 1238; Los Angeles County; California","5757",
"1400000US06037123901","Census Tract 1239.01; Los Angeles County; California","4621",
"1400000US06037123902","Census Tract 1239.02; Los Angeles County; California","2596",
"1400000US06037124000","Census Tract 1240; Los Angeles County; California","4786",
"1400000US06037124102","Census Tract 1241.02; Los Angeles County; California","3627",
"1400000US06037124103","Census Tract 1241.03; Los Angeles County; California","1857",
"1400000US06037124104","Census Tract 1241.04; Los Angeles County; California","2519",
"1400000US06037124105","Census Tract 1241.05; Los Angeles County; California","2425",
"1400000US06037124201","Census Tract 1242.01; Los Angeles County; California","3391",
"1400000US06037124203","Census Tract 1242.03; Los Angeles County; California","2450",
"1400000US06037124204","Census Tract 1242.04; Los Angeles County; California","2753",
"1400000US06037124300","Census Tract 1243; Los Angeles County; California","3830",
"1400000US06037124400","Census Tract 1244; Los Angeles County; California","4308",
"1400000US06037124500","Census Tract 1245; Los Angeles County; California","2880",
"1400000US06037124600","Census Tract 1246; Los Angeles County; California","3223",
"1400000US06037124700","Census Tract 1247; Los Angeles County; California","5343",
"1400000US06037124902","Census Tract 1249.02; Los Angeles County; California","2893",
"1400000US06037124903","Census Tract 1249.03; Los Angeles County; California","3630",
"1400000US06037125101","Census Tract 1251.01; Los Angeles County; California","3979",
"1400000US06037125102","Census Tract 1251.02; Los Angeles County; California","2280",
"1400000US06037125200","Census Tract 1252; Los Angeles County; California","4014",
"1400000US06037125310","Census Tract 1253.10; Los Angeles County; California","4941",
"1400000US06037125321","Census Tract 1253.21; Los Angeles County; California","3049",
"1400000US06037125322","Census Tract 1253.22; Los Angeles County; California","2222",
"1400000US06037125402","Census Tract 1254.02; Los Angeles County; California","4076",
"1400000US06037125403","Census Tract 1254.03; Los Angeles County; California","2181",
"1400000US06037125404","Census Tract 1254.04; Los Angeles County; California","3133",
"1400000US06037125501","Census Tract 1255.01; Los Angeles County; California","3249",
"1400000US06037125502","Census Tract 1255.02; Los Angeles County; California","3572",
"1400000US06037125600","Census Tract 1256; Los Angeles County; California","2599",
"1400000US06037127102","Census Tract 1271.02; Los Angeles County; California","5450",
"1400000US06037127103","Census Tract 1271.03; Los Angeles County; California","3203",
"1400000US06037127104","Census Tract 1271.04; Los Angeles County; California","4140",
"1400000US06037127210","Census Tract 1272.10; Los Angeles County; California","5453",
"1400000US06037127220","Census Tract 1272.20; Los Angeles County; California","4993",
"1400000US06037127300","Census Tract 1273; Los Angeles County; California","3735",
"1400000US06037127400","Census Tract 1274; Los Angeles County; California","5529",
"1400000US06037127520","Census Tract 1275.20; Los Angeles County; California","4226",
"1400000US06037127603","Census Tract 1276.03; Los Angeles County; California","2949",
"1400000US06037127604","Census Tract 1276.04; Los Angeles County; California","3194",
"1400000US06037127605","Census Tract 1276.05; Los Angeles County; California","3314",
"1400000US06037127606","Census Tract 1276.06; Los Angeles County; California","3253",
"1400000US06037127711","Census Tract 1277.11; Los Angeles County; California","3434",
"1400000US06037127712","Census Tract 1277.12; Los Angeles County; California","3894",
"1400000US06037127803","Census Tract 1278.03; Los Angeles County; California","5076",
"1400000US06037127804","Census Tract 1278.04; Los Angeles County; California","4422",
"1400000US06037127805","Census Tract 1278.05; Los Angeles County; California","3514",
"1400000US06037127806","Census Tract 1278.06; Los Angeles County; California","3505",
"1400000US06037127910","Census Tract 1279.10; Los Angeles County; California","5209",
"1400000US06037127920","Census Tract 1279.20; Los Angeles County; California","4212",
"1400000US06037128101","Census Tract 1281.01; Los Angeles County; California","3635",
"1400000US06037128102","Census Tract 1281.02; Los Angeles County; California","4874",
"1400000US06037128210","Census Tract 1282.10; Los Angeles County; California","4809",
"1400000US06037128220","Census Tract 1282.20; Los Angeles County; California","3087",
"1400000US06037128302","Census Tract 1283.02; Los Angeles County; California","4654",
"1400000US06037128303","Census Tract 1283.03; Los Angeles County; California","3876",
"1400000US06037128400","Census Tract 1284; Los Angeles County; California","4516",
"1400000US06037128500","Census Tract 1285; Los Angeles County; California","4294",
"1400000US06037128601","Census Tract 1286.01; Los Angeles County; California","4379",
"1400000US06037128602","Census Tract 1286.02; Los Angeles County; California","3422",
"1400000US06037128703","Census Tract 1287.03; Los Angeles County; California","3317",
"1400000US06037128704","Census Tract 1287.04; Los Angeles County; California","2594",
"1400000US06037128801","Census Tract 1288.01; Los Angeles County; California","3805",
"1400000US06037128802","Census Tract 1288.02; Los Angeles County; California","4673",
"1400000US06037128910","Census Tract 1289.10; Los Angeles County; California","4384",
"1400000US06037131021","Census Tract 1310.21; Los Angeles County; California","2972",
"1400000US06037131022","Census Tract 1310.22; Los Angeles County; California","3491",
"1400000US06037131023","Census Tract 1310.23; Los Angeles County; California","2628",
"1400000US06037131024","Census Tract 1310.24; Los Angeles County; California","3422",
"1400000US06037131100","Census Tract 1311; Los Angeles County; California","3264",
"1400000US06037131200","Census Tract 1312; Los Angeles County; California","3549",
"1400000US06037131300","Census Tract 1313; Los Angeles County; California","4854",
"1400000US06037131400","Census Tract 1314; Los Angeles County; California","6149",
"1400000US06037131600","Census Tract 1316; Los Angeles County; California","5366",
"1400000US06037131701","Census Tract 1317.01; Los Angeles County; California","4794",
"1400000US06037131702","Census Tract 1317.02; Los Angeles County; California","3602",
"1400000US06037131801","Census Tract 1318.01; Los Angeles County; California","3104",
"1400000US06037131802","Census Tract 1318.02; Los Angeles County; California","2552",
"1400000US06037131900","Census Tract 1319; Los Angeles County; California","4382",
